🔍 [Forensic Stepper]: loading targets 'example-pivot-finder_10_bottoms'...
🎯 [Forensic Stepper]: Extracted 8 confirmed target zones.
🔍 [Forensic Stepper]: Interrogating checkpoint 'model-best-gen25-f1-0.3750.pt'...
🚀 [Forensic Stepper]: Initiating Walk-Forward for -1 steps.
------------------------------------------------------------
Step  101/246 | Bars:  101 | Time: 1769443200000 | Score: 0.0000000000 | Target: 0 |
Step  102/246 | Bars:  102 | Time: 1769457600000 | Score: 0.0000000000 | Target: 0 |
Step  103/246 | Bars:  103 | Time: 1769472000000 | Score: 0.0000000000 | Target: 0 |
Step  104/246 | Bars:  104 | Time: 1769486400000 | Score: 0.0000000000 | Target: 0 |
Step  105/246 | Bars:  105 | Time: 1769500800000 | Score: 0.0000000000 | Target: 0 |
Step  106/246 | Bars:  106 | Time: 1769515200000 | Score: 0.0000000000 | Target: 0 |
Step  107/246 | Bars:  107 | Time: 1769529600000 | Score: 0.0000000000 | Target: 0 |
Step  108/246 | Bars:  108 | Time: 1769544000000 | Score: 0.0000000000 | Target: 0 |
Step  109/246 | Bars:  109 | Time: 1769558400000 | Score: 0.0000000000 | Target: 0 |
Step  110/246 | Bars:  110 | Time: 1769572800000 | Score: 0.0000000000 | Target: 0 |
Step  111/246 | Bars:  111 | Time: 1769587200000 | Score: 0.0000000000 | Target: 0 |
Step  112/246 | Bars:  112 | Time: 1769601600000 | Score: 0.0000000000 | Target: 0 |
Step  113/246 | Bars:  113 | Time: 1769616000000 | Score: 0.0000000001 | Target: 0 |
Step  114/246 | Bars:  114 | Time: 1769630400000 | Score: 0.0000000002 | Target: 0 |
Step  115/246 | Bars:  115 | Time: 1769644800000 | Score: 0.0000000001 | Target: 0 |
Step  116/246 | Bars:  116 | Time: 1769659200000 | Score: 0.0000000000 | Target: 0 |
Step  117/246 | Bars:  117 | Time: 1769673600000 | Score: 0.0000000004 | Target: 0 |
Step  118/246 | Bars:  118 | Time: 1769688000000 | Score: 0.0000000007 | Target: 0 |
Step  119/246 | Bars:  119 | Time: 1769702400000 | Score: 0.0000000080 | Target: 0 |
Step  120/246 | Bars:  120 | Time: 1769716800000 | Score: 0.0000000003 | Target: 0 |
Step  121/246 | Bars:  121 | Time: 1769731200000 | Score: 0.0000000007 | Target: 0 |
Step  122/246 | Bars:  122 | Time: 1769745600000 | Score: 0.0000000658 | Target: 0 | *
Step  123/246 | Bars:  123 | Time: 1769760000000 | Score: 0.0000001271 | Target: 0 | **
Step  124/246 | Bars:  124 | Time: 1769774400000 | Score: 0.0000001724 | Target: 0 | ***
Step  125/246 | Bars:  125 | Time: 1769788800000 | Score: 0.0000019130 | Target: 0 | ****
Step  126/246 | Bars:  126 | Time: 1769803200000 | Score: 0.0000061105 | Target: 0 | *****
Step  127/246 | Bars:  127 | Time: 1769990400000 | Score: 0.0000003784 | Target: 0 | ******
Step  128/246 | Bars:  128 | Time: 1770004800000 | Score: 0.0000006659 | Target: 0 | *
Step  129/246 | Bars:  129 | Time: 1770019200000 | Score: 0.0000002431 | Target: 0 | **
Step  130/246 | Bars:  130 | Time: 1770033600000 | Score: 0.0000005181 | Target: 0 | ***
Step  131/246 | Bars:  131 | Time: 1770048000000 | Score: 0.0000023417 | Target: 0 | ****
Step  132/246 | Bars:  132 | Time: 1770062400000 | Score: 0.0000031035 | Target: 1 | *****      HIT
Step  133/246 | Bars:  133 | Time: 1770076800000 | Score: 0.0000005374 | Target: 0 | ******
Step  134/246 | Bars:  134 | Time: 1770091200000 | Score: 0.0000002753 | Target: 0 | *
Step  135/246 | Bars:  135 | Time: 1770105600000 | Score: 0.0000007087 | Target: 0 | **
Step  136/246 | Bars:  136 | Time: 1770120000000 | Score: 0.0000006452 | Target: 0 | ***
Step  137/246 | Bars:  137 | Time: 1770134400000 | Score: 0.0000000324 | Target: 0 | ****
Step  138/246 | Bars:  138 | Time: 1770148800000 | Score: 0.0000000546 | Target: 0 | *****
Step  139/246 | Bars:  139 | Time: 1770163200000 | Score: 0.0000000293 | Target: 0 | ******
Step  140/246 | Bars:  140 | Time: 1770177600000 | Score: 0.0000000253 | Target: 0 |
Step  141/246 | Bars:  141 | Time: 1770192000000 | Score: 0.0000002836 | Target: 0 | *
Step  142/246 | Bars:  142 | Time: 1770206400000 | Score: 0.0000001621 | Target: 0 | **
Step  143/246 | Bars:  143 | Time: 1770220800000 | Score: 0.0000026453 | Target: 0 | ***
Step  144/246 | Bars:  144 | Time: 1770235200000 | Score: 0.0000006343 | Target: 0 | ****
Step  145/246 | Bars:  145 | Time: 1770249600000 | Score: 0.0000008805 | Target: 0 | *****
Step  146/246 | Bars:  146 | Time: 1770264000000 | Score: 0.0000008757 | Target: 0 | ******
Step  147/246 | Bars:  147 | Time: 1770278400000 | Score: 0.0000006628 | Target: 0 | *
Step  148/246 | Bars:  148 | Time: 1770292800000 | Score: 0.0000000362 | Target: 0 | **
Step  149/246 | Bars:  149 | Time: 1770307200000 | Score: 0.0000001828 | Target: 0 | ***
Step  150/246 | Bars:  150 | Time: 1770321600000 | Score: 0.0000001776 | Target: 0 | ****
Step  151/246 | Bars:  151 | Time: 1770336000000 | Score: 0.0000000889 | Target: 1 | *****      HIT
Step  152/246 | Bars:  152 | Time: 1770350400000 | Score: 0.0000000019 | Target: 0 | ******
Step  153/246 | Bars:  153 | Time: 1770364800000 | Score: 0.0000000208 | Target: 0 |
Step  154/246 | Bars:  154 | Time: 1770379200000 | Score: 0.0000000001 | Target: 0 |
Step  155/246 | Bars:  155 | Time: 1770393600000 | Score: 0.0000000000 | Target: 0 |
Step  156/246 | Bars:  156 | Time: 1770408000000 | Score: 0.0000000000 | Target: 0 |
Step  157/246 | Bars:  157 | Time: 1770595200000 | Score: 0.0000000000 | Target: 0 |
Step  158/246 | Bars:  158 | Time: 1770609600000 | Score: 0.0000000000 | Target: 0 |
Step  159/246 | Bars:  159 | Time: 1770624000000 | Score: 0.0000000000 | Target: 0 |
Step  160/246 | Bars:  160 | Time: 1770638400000 | Score: 0.0000000000 | Target: 0 |
Step  161/246 | Bars:  161 | Time: 1770652800000 | Score: 0.0000000000 | Target: 0 |
Step  162/246 | Bars:  162 | Time: 1770667200000 | Score: 0.0000000000 | Target: 0 |
Step  163/246 | Bars:  163 | Time: 1770681600000 | Score: 0.0000000000 | Target: 0 |
Step  164/246 | Bars:  164 | Time: 1770696000000 | Score: 0.0000000000 | Target: 0 |
Step  165/246 | Bars:  165 | Time: 1770710400000 | Score: 0.0000000000 | Target: 0 |
Step  166/246 | Bars:  166 | Time: 1770724800000 | Score: 0.0000000000 | Target: 0 |
Step  167/246 | Bars:  167 | Time: 1770739200000 | Score: 0.0000000000 | Target: 0 |
Step  168/246 | Bars:  168 | Time: 1770753600000 | Score: 0.0000000000 | Target: 0 |
Step  169/246 | Bars:  169 | Time: 1770768000000 | Score: 0.0000000000 | Target: 0 |
Step  170/246 | Bars:  170 | Time: 1770782400000 | Score: 0.0000000000 | Target: 0 |
Step  171/246 | Bars:  171 | Time: 1770796800000 | Score: 0.0000000000 | Target: 0 |
Step  172/246 | Bars:  172 | Time: 1770811200000 | Score: 0.0000000000 | Target: 1 |            MISS
Step  173/246 | Bars:  173 | Time: 1770825600000 | Score: 0.0000000004 | Target: 0 |
Step  174/246 | Bars:  174 | Time: 1770840000000 | Score: 0.0000000009 | Target: 0 |
Step  175/246 | Bars:  175 | Time: 1770854400000 | Score: 0.0000000021 | Target: 0 |
Step  176/246 | Bars:  176 | Time: 1770868800000 | Score: 0.0000000037 | Target: 0 |
Step  177/246 | Bars:  177 | Time: 1770883200000 | Score: 0.0000000007 | Target: 0 |
Step  178/246 | Bars:  178 | Time: 1770897600000 | Score: 0.0000000003 | Target: 0 |
Step  179/246 | Bars:  179 | Time: 1770912000000 | Score: 0.0000000025 | Target: 0 |
Step  180/246 | Bars:  180 | Time: 1770926400000 | Score: 0.0000000016 | Target: 0 |
Step  181/246 | Bars:  181 | Time: 1770940800000 | Score: 0.0000000010 | Target: 0 |
Step  182/246 | Bars:  182 | Time: 1770955200000 | Score: 0.0000000076 | Target: 0 |
Step  183/246 | Bars:  183 | Time: 1770969600000 | Score: 0.0000000095 | Target: 0 |
Step  184/246 | Bars:  184 | Time: 1770984000000 | Score: 0.0000000084 | Target: 0 |
Step  185/246 | Bars:  185 | Time: 1770998400000 | Score: 0.0000000004 | Target: 0 |
Step  186/246 | Bars:  186 | Time: 1771012800000 | Score: 0.0000000005 | Target: 0 |
Step  187/246 | Bars:  187 | Time: 1771200000000 | Score: 0.0000000001 | Target: 0 |
Step  188/246 | Bars:  188 | Time: 1771214400000 | Score: 0.0000000003 | Target: 0 |
Step  189/246 | Bars:  189 | Time: 1771228800000 | Score: 0.0000000002 | Target: 0 |
Step  190/246 | Bars:  190 | Time: 1771243200000 | Score: 0.0000000018 | Target: 0 |
Step  191/246 | Bars:  191 | Time: 1771257600000 | Score: 0.0000000012 | Target: 0 |
Step  192/246 | Bars:  192 | Time: 1771272000000 | Score: 0.0000000002 | Target: 0 |
Step  193/246 | Bars:  193 | Time: 1771286400000 | Score: 0.0000000016 | Target: 0 |
Step  194/246 | Bars:  194 | Time: 1771300800000 | Score: 0.0000000025 | Target: 0 |
Step  195/246 | Bars:  195 | Time: 1771315200000 | Score: 0.0000000038 | Target: 0 |
Step  196/246 | Bars:  196 | Time: 1771329600000 | Score: 0.0000001136 | Target: 0 | *
Step  197/246 | Bars:  197 | Time: 1771344000000 | Score: 0.0000001363 | Target: 0 | **
Step  198/246 | Bars:  198 | Time: 1771358400000 | Score: 0.0000000000 | Target: 0 | ***
Step  199/246 | Bars:  199 | Time: 1771372800000 | Score: 0.0000000002 | Target: 0 | ****
Step  200/246 | Bars:  200 | Time: 1771387200000 | Score: 0.0000000016 | Target: 0 | *****
Step  201/246 | Bars:  201 | Time: 1771401600000 | Score: 0.0000000123 | Target: 0 | ******
Step  202/246 | Bars:  202 | Time: 1771416000000 | Score: 0.0000000090 | Target: 0 |
Step  203/246 | Bars:  203 | Time: 1771430400000 | Score: 0.0000001014 | Target: 0 | *
Step  204/246 | Bars:  204 | Time: 1771444800000 | Score: 0.0000009960 | Target: 0 | **
Step  205/246 | Bars:  205 | Time: 1771459200000 | Score: 0.0000005616 | Target: 0 | ***
Step  206/246 | Bars:  206 | Time: 1771473600000 | Score: 0.0000014219 | Target: 0 | ****
Step  207/246 | Bars:  207 | Time: 1771488000000 | Score: 0.0000012752 | Target: 0 | *****
Step  208/246 | Bars:  208 | Time: 1771502400000 | Score: 0.0000734963 | Target: 0 | ******
Step  209/246 | Bars:  209 | Time: 1771516800000 | Score: 0.0000258627 | Target: 1 | *          HIT
Step  210/246 | Bars:  210 | Time: 1771531200000 | Score: 0.0000014936 | Target: 0 | ******
Step  211/246 | Bars:  211 | Time: 1771545600000 | Score: 0.0000003504 | Target: 0 | *
Step  212/246 | Bars:  212 | Time: 1771560000000 | Score: 0.0000004144 | Target: 0 | **
Step  213/246 | Bars:  213 | Time: 1771574400000 | Score: 0.0000001357 | Target: 0 | ***
Step  214/246 | Bars:  214 | Time: 1771588800000 | Score: 0.0000000417 | Target: 0 | ****
Step  215/246 | Bars:  215 | Time: 1771603200000 | Score: 0.0000000076 | Target: 0 | *****
Step  216/246 | Bars:  216 | Time: 1771617600000 | Score: 0.0000000270 | Target: 0 | ******
Step  217/246 | Bars:  217 | Time: 1771804800000 | Score: 0.0000000004 | Target: 0 |
Step  218/246 | Bars:  218 | Time: 1771819200000 | Score: 0.0000000001 | Target: 0 |
Step  219/246 | Bars:  219 | Time: 1771833600000 | Score: 0.0000000041 | Target: 0 |
Step  220/246 | Bars:  220 | Time: 1771848000000 | Score: 0.0000000412 | Target: 0 |
Step  221/246 | Bars:  221 | Time: 1771862400000 | Score: 0.0000000015 | Target: 0 |
Step  222/246 | Bars:  222 | Time: 1771876800000 | Score: 0.0000000012 | Target: 0 |
Step  223/246 | Bars:  223 | Time: 1771891200000 | Score: 0.0000000035 | Target: 0 |
Step  224/246 | Bars:  224 | Time: 1771905600000 | Score: 0.0000000220 | Target: 0 |
Step  225/246 | Bars:  225 | Time: 1771920000000 | Score: 0.0000000034 | Target: 0 |
Step  226/246 | Bars:  226 | Time: 1771934400000 | Score: 0.0000000052 | Target: 0 |
Step  227/246 | Bars:  227 | Time: 1771948800000 | Score: 0.0000000012 | Target: 1 |            MISS
Step  228/246 | Bars:  228 | Time: 1771963200000 | Score: 0.0000000023 | Target: 0 |
Step  229/246 | Bars:  229 | Time: 1771977600000 | Score: 0.0000000011 | Target: 0 |
Step  230/246 | Bars:  230 | Time: 1771992000000 | Score: 0.0000000001 | Target: 0 |
Step  231/246 | Bars:  231 | Time: 1772006400000 | Score: 0.0000000013 | Target: 0 |
Step  232/246 | Bars:  232 | Time: 1772020800000 | Score: 0.0000000063 | Target: 0 |
Step  233/246 | Bars:  233 | Time: 1772035200000 | Score: 0.0000000000 | Target: 0 |
Step  234/246 | Bars:  234 | Time: 1772049600000 | Score: 0.0000000000 | Target: 0 |
Step  235/246 | Bars:  235 | Time: 1772064000000 | Score: 0.0000000000 | Target: 0 |
Step  236/246 | Bars:  236 | Time: 1772078400000 | Score: 0.0000000000 | Target: 0 |
Step  237/246 | Bars:  237 | Time: 1772092800000 | Score: 0.0000000009 | Target: 0 |
Step  238/246 | Bars:  238 | Time: 1772107200000 | Score: 0.0000000000 | Target: 0 |
Step  239/246 | Bars:  239 | Time: 1772121600000 | Score: 0.0000000032 | Target: 0 |
Step  240/246 | Bars:  240 | Time: 1772136000000 | Score: 0.0000000002 | Target: 0 |
Step  241/246 | Bars:  241 | Time: 1772150400000 | Score: 0.0000000008 | Target: 0 |
Step  242/246 | Bars:  242 | Time: 1772164800000 | Score: 0.0000000000 | Target: 0 |
Step  243/246 | Bars:  243 | Time: 1772179200000 | Score: 0.0000000002 | Target: 0 |
Step  244/246 | Bars:  244 | Time: 1772193600000 | Score: 0.0000000001 | Target: 0 |
Step  245/246 | Bars:  245 | Time: 1772208000000 | Score: 0.0000000000 | Target: 0 |
Step  246/246 | Bars:  246 | Time: 1772222400000 | Score: 0.0000000000 | Target: 0 |
