GBPUSD
🔍 [Forensic Stepper]: loading targets 'example-pivot-finder_10_bottoms'...
🎯 [Forensic Stepper]: Extracted 8 confirmed target zones.
🔍 [Forensic Stepper]: Interrogating checkpoint 'model-best-gen13-f1-0.6316.pt'...
🚀 [Forensic Stepper]: Initiating Walk-Forward for -1 steps.
📦 Payload Indicators: ['volatility-ratio_20_2.0_1.0', 'example-multi-tf-rsi_EUR-USD_14_14_14_14', 'example-multi-tf-rsi_DOLLAR.IDX-USD_14_14_14_14', 'is-open', 'williamsr_14', 'kaufman-er_10', 'aroon_14', 'stochastic_5_3_3']
------------------------------------------------------------
Step  111/246 | Bars:  111 | Time: 1769587200000 | Score: 0.0000037521 | Target: 0 | *
Step  112/246 | Bars:  112 | Time: 1769601600000 | Score: 0.0000012373 | Target: 0 | *
Step  113/246 | Bars:  113 | Time: 1769616000000 | Score: 0.0000001598 | Target: 0 | *
Step  114/246 | Bars:  114 | Time: 1769630400000 | Score: 0.0000000112 | Target: 0 |
Step  115/246 | Bars:  115 | Time: 1769644800000 | Score: 0.0000000007 | Target: 0 |
Step  116/246 | Bars:  116 | Time: 1769659200000 | Score: 0.0000000075 | Target: 0 |
Step  117/246 | Bars:  117 | Time: 1769673600000 | Score: 0.0000000155 | Target: 0 |
Step  118/246 | Bars:  118 | Time: 1769688000000 | Score: 0.0000000002 | Target: 0 |
Step  119/246 | Bars:  119 | Time: 1769702400000 | Score: 0.0000000000 | Target: 0 |
Step  120/246 | Bars:  120 | Time: 1769716800000 | Score: 0.0000000000 | Target: 0 |
Step  121/246 | Bars:  121 | Time: 1769731200000 | Score: 0.0000000000 | Target: 0 |
Step  122/246 | Bars:  122 | Time: 1769745600000 | Score: 0.3915424645 | Target: 0 | ***
Step  123/246 | Bars:  123 | Time: 1769760000000 | Score: 0.0060038599 | Target: 0 | *****
Step  124/246 | Bars:  124 | Time: 1769774400000 | Score: 0.0003251372 | Target: 0 | ....
Step  125/246 | Bars:  125 | Time: 1769788800000 | Score: 0.0001456573 | Target: 0 | ...
Step  126/246 | Bars:  126 | Time: 1769803200000 | Score: 0.0001208872 | Target: 0 | ***
Step  127/246 | Bars:  127 | Time: 1769990400000 | Score: 0.0041711912 | Target: 0 | ****
Step  128/246 | Bars:  128 | Time: 1770004800000 | Score: 0.0019747994 | Target: 0 | ****
Step  129/246 | Bars:  129 | Time: 1770019200000 | Score: 0.0283110458 | Target: 0 | *****
Step  130/246 | Bars:  130 | Time: 1770033600000 | Score: 0.0044277725 | Target: 0 | *****
Step  131/246 | Bars:  131 | Time: 1770048000000 | Score: 0.0993843079 | Target: 1 | *****  HIT
Step  132/246 | Bars:  132 | Time: 1770062400000 | Score: 0.0426963456 | Target: 0 | *****
Step  133/246 | Bars:  133 | Time: 1770076800000 | Score: 0.0352082849 | Target: 0 | *****
Step  134/246 | Bars:  134 | Time: 1770091200000 | Score: 0.0046039857 | Target: 0 | *****
Step  135/246 | Bars:  135 | Time: 1770105600000 | Score: 0.0001584604 | Target: 0 | ....
Step  136/246 | Bars:  136 | Time: 1770120000000 | Score: 0.0001359431 | Target: 0 | ...
Step  137/246 | Bars:  137 | Time: 1770134400000 | Score: 0.0000246358 | Target: 0 | ***
Step  138/246 | Bars:  138 | Time: 1770148800000 | Score: 0.0000001360 | Target: 0 | .
Step  139/246 | Bars:  139 | Time: 1770163200000 | Score: 0.0000000002 | Target: 0 |
Step  140/246 | Bars:  140 | Time: 1770177600000 | Score: 0.0000000000 | Target: 0 |
Step  141/246 | Bars:  141 | Time: 1770192000000 | Score: 0.0000000000 | Target: 0 |
Step  142/246 | Bars:  142 | Time: 1770206400000 | Score: 0.0000000000 | Target: 0 |
Step  143/246 | Bars:  143 | Time: 1770220800000 | Score: 0.0000000000 | Target: 0 |
Step  144/246 | Bars:  144 | Time: 1770235200000 | Score: 0.0000000000 | Target: 0 |
Step  145/246 | Bars:  145 | Time: 1770249600000 | Score: 0.0000000000 | Target: 0 |
Step  146/246 | Bars:  146 | Time: 1770264000000 | Score: 0.0019269953 | Target: 0 | **
