🔍 [Forensic Stepper]: loading targets 'example-pivot-finder_10_bottoms'...
🎯 [Forensic Stepper]: Extracted 9 confirmed target zones.
🔍 [Forensic Stepper]: Interrogating checkpoint 'model-best-gen12-f1-0.7692.pt'...
🚀 [Forensic Stepper]: Initiating Walk-Forward for -1 steps.
📦 Payload Indicators: ['williamsr_14', 'example-multi-tf-rsi_EUR-USD_14_14_14_14', 'cci_20', 'is-open', 'ppo_12_26_9', 'example-multi-tf-rsi_DOLLAR.IDX-USD_14_14_14_14', 'example-multi-tf-rsi_GBP-USD_14_14_14_14']
------------------------------------------------------------
Step  167/301 | Bars:  167 | Score: 0.0000010803 | Target: 0
Step  168/301 | Bars:  168 | Score: 0.0000614298 | Target: 0
Step  169/301 | Bars:  169 | Score: 0.0000893176 | Target: 0
Step  170/301 | Bars:  170 | Score: 0.0001110767 | Target: 0
Step  171/301 | Bars:  171 | Score: 0.0000060485 | Target: 0
Step  172/301 | Bars:  172 | Score: 0.0000531686 | Target: 0
Step  173/301 | Bars:  173 | Score: 0.0000002178 | Target: 0
Step  174/301 | Bars:  174 | Score: 0.0319624878 | Target: 0
Step  175/301 | Bars:  175 | Score: 0.3630318344 | Target: 1 ENTER_POSITION
Step  176/301 | Bars:  176 | Score: 0.1153902635 | Target: 0
Step  177/301 | Bars:  177 | Score: 0.0000499578 | Target: 0
Step  178/301 | Bars:  178 | Score: 0.0000000502 | Target: 0
Step  179/301 | Bars:  179 | Score: 0.0000000223 | Target: 0
Step  180/301 | Bars:  180 | Score: 0.0000001347 | Target: 0
Step  181/301 | Bars:  181 | Score: 0.0000000039 | Target: 0
Step  182/301 | Bars:  182 | Score: 0.0000000040 | Target: 0
Step  183/301 | Bars:  183 | Score: 0.0000000003 | Target: 0
Step  184/301 | Bars:  184 | Score: 0.0000000000 | Target: 0
Step  185/301 | Bars:  185 | Score: 0.0000000000 | Target: 0
Step  186/301 | Bars:  186 | Score: 0.0000004001 | Target: 0
Step  187/301 | Bars:  187 | Score: 0.0008443418 | Target: 0
Step  188/301 | Bars:  188 | Score: 0.0057064700 | Target: 0
Step  189/301 | Bars:  189 | Score: 0.0001570273 | Target: 0
Step  190/301 | Bars:  190 | Score: 0.0006524218 | Target: 0
Step  191/301 | Bars:  191 | Score: 0.0390761904 | Target: 0
Step  192/301 | Bars:  192 | Score: 0.0741913915 | Target: 0
Step  193/301 | Bars:  193 | Score: 0.0430426523 | Target: 0
Step  194/301 | Bars:  194 | Score: 0.0216072164 | Target: 0
Step  195/301 | Bars:  195 | Score: 0.0064503672 | Target: 0
Step  196/301 | Bars:  196 | Score: 0.0356261469 | Target: 0
Step  197/301 | Bars:  197 | Score: 0.0141689293 | Target: 0
Step  198/301 | Bars:  198 | Score: 0.0186195578 | Target: 0
Step  199/301 | Bars:  199 | Score: 0.0113799665 | Target: 0
Step  200/301 | Bars:  200 | Score: 0.0153239146 | Target: 0
Step  201/301 | Bars:  201 | Score: 0.0207955688 | Target: 0
Step  202/301 | Bars:  202 | Score: 0.0326650962 | Target: 0
Step  203/301 | Bars:  203 | Score: 0.0214095488 | Target: 0
Step  204/301 | Bars:  204 | Score: 0.0833622217 | Target: 0
